DATA IN NGS FORMAT FROM DATABASE 19JUL15XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
MATERA    NYALES20  0529+483 2019 07 15 17 03  23.0000000000                3001                
   -9875949.19094751   0.10571  -486557.7351741435   0.43611 4      I       3002                
   0.00014    .00000    .00000    .00000  -0.448953333010091       0.2      3003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3004
   0.76358  -0.01001    .00000    .00000    .00000    .00000                3005                
    22.500     5.619   952.700  1011.700    52.100    91.272 0 0            3006                
       -1.9560986495   0.06921       -8.5850143385   0.12957  0             3008                
MATERA    WETTZELL  0529+483 2019 07 15 17 03  23.0000000000                3101                
   -2982685.57126717   0.10196   -68336.3172286539   0.42064 4      I       3102                
   0.00015    .00000    .00000    .00000  -1.047916271795783       0.2      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
   0.76358  -0.01299    .00000    .00000    .00000    .00000                3105                
    22.500    22.462   952.700   944.500    52.100    34.537 0 0            3106                
       -0.2073039045   0.06829      -22.4392981190   0.12908  0             3108                
NYALES20  WETTZELL  0529+483 2019 07 15 17 03  23.0000000000                3201                
    6893284.43398611   0.00412   418161.0928043791   0.00431 0      I       3202                
   0.00166    .00000    .00000    .00000   4.426424867802488       0.0      3203                
  0.408   1.054  0.0013  0.0070 -0.0017  0.0085     168561.800              3204
  -0.01001  -0.01299    .00000    .00000    .00000    .00000                3205                
     5.619    22.462  1011.700   944.500    91.272    34.537 0 0            3206                
        1.1065161729   0.00669       -0.0084754410   0.00456  0             3208                
KATH12M   SEJONG    2227-088 2019 07 15 17 04   1.0000000000                3301                
    6364596.92542373   0.01801   -28362.9985376782   0.01970 0      I       3302                
   0.00041    .00000    .00000    .00000   4.309434065328070       0.0      3303                
  0.636   1.371  0.0004 -0.0079 -0.0003  0.0014     -34805.466              3304
   0.00000   0.00000    .00000    .00000    .00000    .00000                3305                
    17.890    19.389  1000.327   991.589    22.873    99.000 0 0            3306                
        0.0809355699   0.05212        0.0115397342   0.01222  0             3308                
KATH12M   SESHAN25  2227-088 2019 07 15 17 04   1.0000000000                3401                
    5928812.42072704   0.01185  -185120.0339264434   0.03421 0      I       3402                
   0.00096    .00000    .00000    .00000   5.586083717091497       0.0      3403                
  0.636   1.417  0.0004  0.0329 -0.0003  0.0018      17873.003              3404
   0.00000   0.00000    .00000    .00000    .00000    .00000                3405                
