DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
   -3941717.60222294    .00279 -1019533.1747018970    .00569 0      I       1302                
    .00342    .00000    .00000    .00000  -1.354395579782219        0.      1303                
  1.442   0.814  0.0054  0.0034  0.0058 -0.0017      -1461.853              1304
    .00000    .00000    .00000    .00000    .00000    .00000                1305                
    13.685    15.185   917.600   883.415    71.329    75.971 0 0            1306                
        3.0538444385    .00257         .0110668463    .00374  0             1308                
BADARY    YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                1401                
    3676739.93021555    .00380 -1670450.6479158860    .00776 0      I       1402                
    .00251    .00000    .00000    .00000   3.936706827592178        0.      1403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1404
    .00000 -10.59959    .00000    .00000    .00000    .00000                1405                
    13.685    23.885   917.600   908.085    71.329    27.000 0 0            1406                
       -1.3153809790    .00376         .0274034535    .00564  0             1408                
ISHIOKA   ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                1501                
   -9426936.56714320    .01262 -1641147.7630292090    .02574 0      I       1502                
    .00076    .00000    .00000    .00000  -3.528467135668405        0.      1503                
  6.241   0.814 -0.1022  0.0034  0.2835 -0.0017     213831.010              1504
    .00000    .00000    .00000    .00000    .00000    .00000                1505                
    19.541    15.185   996.500   883.415    98.720    75.971 0 0            1506                
        3.2911482377    .00742         .0650610880    .01084  0             1508                
BADARY    HART15M   1639-062 2019 06 20 18 30  30.0000000000                1601                
   -7972985.25031785    .01480 -1416873.9998766340    .03018 0      I       1602                
    .00065    .00000    .00000    .00000  -2.443037776494848        0.      1603                
  1.442   0.115  0.0054 -0.0004  0.0058 -0.0009    -212154.423              1604
    .00000    .00000    .00000    .00000    .00000    .00000                1605                
    13.685     5.700   917.600   873.900    71.329    46.500 0 0            1606                
        3.7069881778    .00412         .0094218225    .00589  0             1608                
HART15M   ISHIOKA   1639-062 2019 06 20 18 30  30.0000000000                1701                
   13458229.37106963    .05203  2038491.1837024790    .09325 0      I       1702                
    .00017    .00000    .00000    .00000   2.883044186533303        0.      1703                
  0.115   6.241 -0.0004 -0.1022 -0.0009  0.2835      -3138.440              1704
    .00000    .00000    .00000    .00000    .00000    .00000                1705                
     5.700    19.541   873.900   996.500    46.500    98.720 0 0            1706                
       -3.9521620760    .01042        -.0009827695    .01361  0             1708                
ISHIOKA   YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                1801                
   -1808475.34071234    .01644 -2292063.6855343560    .02025 0      I       1802                
    .00045    .00000    .00000    .00000  -1.491492715854517        0.      1803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1804
    .00000 -10.59959    .00000    .00000    .00000    .00000                1805                
    19.541    23.885   996.500   908.085    98.720    27.000 0 0            1806                
       -1.0517440235    .00837         .0220811396    .00764  0             1808                
BADARY    YARRA12M  1639-062 2019 06 20 18 30  30.0000000000                1901                
   -4502781.89062208    .01171   460925.0600615541    .02388 0      I       1902                
    .00081    .00000    .00000    .00000  -2.456435873622927        0.      1903                
  1.442  -0.097  0.0054 -0.0022  0.0058 -0.0107    -200490.410              1904
    .00000    .00000    .00000    .00000    .00000    .00000                1905                
    13.685    14.354   917.600   981.400    71.329    56.639 0 0            1906                
       -4.2909704358    .00781        -.0264951860    .01076  0             1908                
BADARY    KATH12M   1639-062 2019 06 20 18 30  30.0000000000                2001                
     -62039.43225802    .01086   796380.4967614594    .02214 0      I       2002                
    .00088    .00000    .00000    .00000   -.518429546632941        0.      2003                
  1.442   0.659  0.0054 -0.0001  0.0058  0.0309    -212304.028              2004
    .00000    .00000    .00000    .00000    .00000    .00000                2005                
    13.685    13.391   917.600  1000.400    71.329    37.295 0 0            2006                
       -4.5981747192    .00760        -.0188886061    .01046  0             2008                
KATH12M   MEDICINA  1639-062 2019 06 20 18 30  30.0000000000                2101                
     879663.74295903    .00945 -2259280.3567403530    .01055 0      I       2102                
    .00075    .00000    .00000    .00000    .550171863534137        0.      2103                
  0.659   1.534 -0.0001  0.0214  0.0309 -0.0200     -11477.280              2104
    .00000    .00000    .00000    .00000    .00000    .00000                2105                
    13.391    28.789  1000.400  1008.611    37.295    29.900 0 0            2106                
        4.1337186133    .01140         .0093673403    .00706  0             2108                
MEDICINA  YARRA12M  1639-062 2019 06 20 18 30  30.0000000000                2201                
   -5320407.87053084    .00928  1923829.5410310260    .01036 0      I       2202                
    .00077    .00000    .00000    .00000   -.338512109183532        0.      2203                
