DATA IN NGS FORMAT FROM DATABASE 19JAN10XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
       -2.2373392962   0.03675       -0.0664898028   0.04395  0             2608                
YEBES40M  ZELENCHK  0054+161 2019 01 10 18 33  49.0000000000                2701                
    6864867.42572242   0.00760   673090.7283989495   0.01548 0      I       2702                
   0.00125    .00000    .00000    .00000   3.634680125211272       0.0      2703                
  0.045   0.200  0.0019  0.0016  0.0004  0.0126     218743.251              2704
   0.00500   0.00000    .00000    .00000    .00000    .00000                2705                
     1.200    -1.000   913.700   884.900    41.739    61.600 0 0            2706                
        1.1248211803   0.02037       -0.0400742147   0.03348  0             2708                
ISHIOKA   KATH12M   4C39.25  2019 01 10 18 35  34.0000000000                2801                
    7904943.87653068   0.02599   -63003.2512204750   0.05119 2      I       2802                
   0.00037    .00000    .00000    .00000   5.275813199556252       0.0      2803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
     3.391    26.793   998.700   990.482    65.748    82.818 0 0            2806                
       -4.5617658283   0.01350        0.3441557659   0.01205  0             2808                
ISHIOKA   YARRA12M  4C39.25  2019 01 10 18 35  34.0000000000                2901                
   11759472.77192077   0.00909  -403157.9961430203   0.01851 0      I       2902                
   0.00105    .00000    .00000    .00000   0.885503259559246       0.0      2903                
  0.102   1.020  0.0002  0.0281  0.0010 -0.0009       6640.428              2904
   0.00000   0.00000    .00000    .00000    .00000    .00000                2905                
     3.391    15.223   998.700   983.000    65.748    50.000 0 0            2906                
        0.0195445000   0.00535        0.0143120660   0.00556  0             2908                
HART15M   ISHIOKA   0727-115 2019 01 10 18 37  26.0000000000                3001                
    5733552.61054936   0.00857  2157221.8498549047   0.01746 0      I       3002                
   0.00111    .00000    .00000    .00000   5.632176111341934       0.0      3003                
  0.917   0.300  0.0016 -0.0065  0.0045  0.0194     -11954.413              3004
   0.00000   0.00000    .00000    .00000    .00000    .00000                3005                
    17.625     2.952   859.225   998.700    86.925    65.575 0 0            3006                
       -0.3071891595   0.00665       -0.0103184163   0.00791  0             3008                
HART15M   YARRA12M  0727-115 2019 01 10 18 37  26.0000000000                3101                
   -5139782.37880855   0.00719  1832978.2373177896   0.01464 0      I       3102                
   0.00133    .00000    .00000    .00000  -3.662187383478483       0.0      3103                
  0.917   0.466  0.0016  0.0014  0.0045 -0.0031      -5313.935              3104
   0.00000   0.00000    .00000    .00000    .00000    .00000                3105                
    17.625    15.321   859.225   983.000    86.925    50.000 0 0            3106                
       -0.4075965284   0.00701       -0.0040100658   0.00881  0             3108                
ISHIOKA   YARRA12M  0727-115 2019 01 10 18 37  26.0000000000                3201                
  -10873333.11449080   0.00855  -324243.1017542862   0.01742 0      I       3202                
   0.00112    .00000    .00000    .00000  -4.914106921359433       0.0      3203                
  0.300   0.466 -0.0065  0.0014  0.0194 -0.0031       6640.478              3204
   0.00000   0.00000    .00000    .00000    .00000    .00000                3205                
     2.952    15.321   998.700   983.000    65.575    50.000 0 0            3206                
       -0.1066616568   0.00811        0.0070764076   0.01015  0             3208                
MATERA    YEBES40M  0718+793 2019 01 10 18 37  39.0000000000                3301                
    1045136.61694632   0.01193   -18735.1121705132   0.02517 0      I       3302                
   0.00082    .00000    .00000    .00000   6.200325310919515       0.0      3303                
  0.338   0.055  0.0051 -0.0066 -0.0027 -0.0008      -3181.269              3304
   0.81068   0.02491    .00000    .00000    .00000    .00000                3305                
     1.200     1.200   950.011   913.716    93.500    40.000 0 0            3306                
       -3.3645757232   0.01454       -0.0073708347   0.01917  0             3308                
MATERA    ZELENCHK  0718+793 2019 01 10 18 37  39.0000000000                3401                
   -1578083.00994817   0.01705    63509.0572711696   0.03358 0      I       3402                
   0.00055    .00000    .00000    .00000  -5.101540198879210       0.0      3403                
  0.338   0.152  0.0051 -0.0032 -0.0027 -0.0011     215562.008              3404
   0.81068   0.00000    .00000    .00000    .00000    .00000                3405                
     1.200    -1.000   950.011   884.900    93.500    61.600 0 0            3406                
       -2.3177054892   0.02045        0.0338396972   0.02348  0             3408                
YEBES40M  ZELENCHK  0718+793 2019 01 10 18 37  39.0000000000                3501                
   -2623219.70497539   0.00506    82244.1649141992   0.01068 0      I       3502                
   0.00194    .00000    .00000    .00000  -3.237049401805939       0.0      3503                
  0.055   0.152 -0.0066 -0.0032 -0.0008 -0.0011     218743.277              3504
   0.02491   0.00000    .00000    .00000    .00000    .00000                3505                
     1.200    -1.000   913.716   884.900    40.000    61.600 0 0            3506                
        1.0260462754   0.01122       -0.0349162559   0.01900  0             3508                
HART15M   ISHIOKA   0529+483 2019 01 10 18 39  23.0000000000                3601                
   -5566620.26707877   0.02121  1239439.8082522128   0.04321 0      I       3602                
   0.00045    .00000    .00000    .00000   2.090789848067501       0.0      3603                
  2.559   0.197  0.2049  0.0034  0.0125  0.0068     -11954.447              3604
   0.00000   0.00000    .00000    .00000    .00000    .00000                3605                
    17.691     3.420   859.291   998.710    86.982    65.601 0 0            3606                
       -0.4922664613   0.01511       -0.0332053557   0.01741  0             3608                
KATH12M   YARRA12M  1424-418 2019 01 10 18 39  25.0000000000                3701                
    1089474.32295537   0.02188   -41537.2971288026   0.04457 2      I       3702                
   0.00044    .00000    .00000    .00000   1.777982136961737       0.0      3703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3704
   0.00000   0.00000    .00000    .00000    .00000    .00000                3705                
    26.800    15.400   990.589   983.000    82.460    50.000 0 0            3706                
        0.6182462437   0.01517        0.3772483129   0.01731  0             3708                
FORTLEZA  MATERA    3C418    2019 01 10 18 40  43.0000000000                3801                
    -796840.89434048   0.02037    84158.3952400625   0.04011 0      I       3802                
   0.00047    .00000    .00000    .00000  -5.604783369001598       0.0      3803                
  2.103   0.471  0.0211  0.0107  0.0019  0.0233      -1877.591              3804
  -0.02716   0.76764    .00000    .00000    .00000    .00000                3805                
    10.000     1.200  1000.000   950.108    50.000    93.508 0 0            3806                
        1.1617007948   0.01404        0.0069893887   0.01339  0             3808                
FORTLEZA  YEBES40M  3C418    2019 01 10 18 40  43.0000000000                3901                
   -4240771.97008339   0.00709    73173.8129702319   0.01495 0      I       3902                
   0.00139    .00000    .00000    .00000  -0.320934280593114       0.0      3903                
  2.103   0.084  0.0211 -0.0049  0.0019  0.0031      -5058.856              3904
  -0.02716   0.01831    .00000    .00000    .00000    .00000                3905                
    10.000     1.175  1000.000   913.788    50.000    40.000 0 0            3906                
       -2.2060775296   0.00682        0.0383053523   0.00995  0             3908                
FORTLEZA  ZELENCHK  3C418    2019 01 10 18 40  43.0000000000                4001                
    2580739.69414681   0.01081   -51779.5531179717   0.02203 0      I       4002                
   0.00089    .00000    .00000    .00000   3.332435576253198       0.0      4003                
  2.103   0.419  0.0211 -0.0268  0.0019  0.0324     213684.443              4004
  -0.02716   0.00000    .00000    .00000    .00000    .00000                4005                
    10.000    -1.000  1000.000   884.900    50.000    61.600 0 0            4006                
       -1.1554647095   0.01039        0.0611776543   0.01381  0             4008                
MATERA    YEBES40M  3C418    2019 01 10 18 40  43.0000000000                4101                
   -3443931.13521259   0.00346   -10984.3960272267   0.00730 0      I       4102                
   0.00283    .00000    .00000    .00000  -1.341937844835046       0.0      4103                
  0.471   0.084  0.0107 -0.0049  0.0233  0.0031      -3181.265              4104
   0.76764   0.01831    .00000    .00000    .00000    .00000                4105                
     1.200     1.175   950.108   913.788    93.508    40.000 0 0            4106                
       -3.3449398426   0.00493       -0.0114087272   0.00659  0             4108                
MATERA    ZELENCHK  3C418    2019 01 10 18 40  43.0000000000                4201                
    3377580.45857173   0.00514  -135937.8819123644   0.01048 8      I       4202                
   0.00185    .00000    .00000    .00000   3.703483424605687       0.0      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
   0.76764   0.00000    .00000    .00000    .00000    .00000                4205                
     1.200    -1.000   950.108   884.900    93.508    61.600 0 0            4206                
        0.0000000000   0.00000        0.0000000000   0.00000  0             4208                
YEBES40M  ZELENCHK  3C418    2019 01 10 18 40  43.0000000000                4301                
    6821511.15010046   0.00225  -124953.6349285483   0.00492 0      I       4302                
